Denominazione,Sezione,Cognome rapp legale,Nome rapp legale,stato,provincia,comune,indirizzo,etichetta,indirizzo_completo,Latitudine,Longitudine
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CASALE LITTA,ALTRI ENTI DEL TERZO SETTORE,MAFFIOLI,GRAZIANO,I,VA,CASALE LITTA,VIA ROMA,AE,"VIA ROMA,CASALE LITTA,VA,I",45.766174717502174,8.735848764851708
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CASALETTO LODIGIANO ETS,ALTRI ENTI DEL TERZO SETTORE,SITZIA,NATHALIE,I,LO,CASALETTO LODIGIANO,VIA ROMA,AE,"VIA ROMA,CASALETTO LODIGIANO,LO,I",45.29362112177576,9.364398472256742
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CASALZUIGNO,ALTRI ENTI DEL TERZO SETTORE,DE ROCCHI,DANILO,I,VA,CASALZUIGNO,VIA LIBERTA',AE,"VIA LIBERTA',CASALZUIGNO,VA,I",45.905664568857524,8.707759127443817
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CASELLE LURANI ETS,ALTRI ENTI DEL TERZO SETTORE,VIGHI,DAVIDE,I,LO,CASELLE LURANI,VIA ROMA,AE,"VIA ROMA,CASELLE LURANI,LO,I",45.28039978892103,9.363723401086803
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CASORATE SEMPIONE,ALTRI ENTI DEL TERZO SETTORE,CASSANI,DIMITRI,I,VA,CASORATE SEMPIONE,VIA DE AMICIS,AE,"VIA DE AMICIS,CASORATE SEMPIONE,VA,I",45.67183807832954,8.740321738628833
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CASOREZZO,ALTRI ENTI DEL TERZO SETTORE,OLDANI,PIERLUCA,I,MI,CASOREZZO,LARGO ALCIDE DE GASPERI,AE,"LARGO ALCIDE DE GASPERI,CASOREZZO,MI,I",45.38661054819198,8.911078958265051
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CASPOGGIO,ALTRI ENTI DEL TERZO SETTORE,BRUSEGHINI,DANILO,I,SO,CASPOGGIO,MILANO,AE,"MILANO,CASPOGGIO,SO,I",46.264494168362894,9.864545592847083
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CASSAGO BRIANZA,ALTRI ENTI DEL TERZO SETTORE,MARABESE,ROBERTA,I,LC,CASSAGO BRIANZA,PIAZZA ITALIA LIBERA,AE,"PIAZZA ITALIA LIBERA,CASSAGO BRIANZA,LC,I",45.74049746793467,9.293953899919611
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CASSANO MAGNAGO,ALTRI ENTI DEL TERZO SETTORE,OTTAVIANI,PIETRO,I,VA,CASSANO MAGNAGO,VIA ALESSANDRO VOLTA,AE,"VIA ALESSANDRO VOLTA,CASSANO MAGNAGO,VA,I",45.674538438182196,8.82122790403916
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CASSANO VALCUVIA,ALTRI ENTI DEL TERZO SETTORE,BOSSI,CLAUDIO,I,VA,CASSANO VALCUVIA,VIA IV NOVEMBRE,AE,"VIA IV NOVEMBRE,CASSANO VALCUVIA,VA,I",45.93255097393733,8.76876350083381
GRUPPO  COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL  COMUNE DI CASSINA RIZZARDI,ALTRI ENTI DEL TERZO SETTORE,BELLU',ALESSANDRO,I,CO,CASSINA RIZZARDI,VIA VITTORIO EMANUELE,AE,"VIA VITTORIO EMANUELE,CASSINA RIZZARDI,CO,I",45.75091033809194,9.030399281997859
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CASTEGNATO,ALTRI ENTI DEL TERZO SETTORE,COMINASSI,GIANLUCA,I,BS,CASTEGNATO,VIA TREBESCHI,AE,"VIA TREBESCHI,CASTEGNATO,BS,I",45.56263778786454,10.120962961589354
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CASTELLANZA,ALTRI ENTI DEL TERZO SETTORE,BORRONI,CRISTINA,I,VA,CASTELLANZA,VIALE RIMEMBRANZE,AE,"VIALE RIMEMBRANZE,CASTELLANZA,VA,I",45.61150491877283,8.897737936525322
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CASTELLO CABIAGLIO,ALTRI ENTI DEL TERZO SETTORE,GALBIATI,MARCO,I,VA,CASTELLO CABIAGLIO,PIAZZA LIBERTA',AE,"PIAZZA LIBERTA',CASTELLO CABIAGLIO,VA,I",45.893268851047964,8.755503123977917
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CASTELSEPRIO,ALTRI ENTI DEL TERZO SETTORE,MARTELOZZO,Silvano,I,VA,CASTELSEPRIO,via San Giuseppe,AE,"via San Giuseppe,CASTELSEPRIO,VA,I",45.716093895006,8.854312391859512
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CASTIGLIONE OLONA,ALTRI ENTI DEL TERZO SETTORE,FRIGERI,GIANCARLO,I,VA,CASTIGLIONE OLONA,VIA CARDINAL BRANDA,AE,"VIA CARDINAL BRANDA,CASTIGLIONE OLONA,VA,I",45.75666329183302,8.864696146175351
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CASTRONNO,ALTRI ENTI DEL TERZO SETTORE,GABRI,GIUSEPPE,I,VA,CASTRONNO,PIAZZA DEL COMUNE,AE,"PIAZZA DEL COMUNE,CASTRONNO,VA,I",45.746410237972825,8.813962623856014
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CAVERNAGO,ALTRI ENTI DEL TERZO SETTORE,TOGNI,GIUSEPPE,I,BG,CAVERNAGO,VIA PAPA GIOVANNI,AE,"VIA PAPA GIOVANNI,CAVERNAGO,BG,I",45.62492605043779,9.76485401984292
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI CAZZAGO BRABBIA,ALTRI ENTI DEL TERZO SETTORE,BOSSI,DAVIDE,I,VA,CAZZAGO BRABBIA,PIAZZA LIBERTA',AE,"PIAZZA LIBERTA',CAZZAGO BRABBIA,VA,I",45.79703425094347,8.73362245910505
