Denominazione,Sezione,Cognome rapp legale,Nome rapp legale,stato,provincia,comune,indirizzo,etichetta,indirizzo_completo,Latitudine,Longitudine
CIRCOLO ACLI LEGNANO ALDO COLOMBO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FEDELI,ALBERTO VITTORIO,I,MI,LEGNANO,VIA SOLFERINO,APS,"VIA SOLFERINO,LEGNANO,MI,I",45.59084319535331,8.916765860101782
CIRCOLO ACLI LENNO APS ,ASSOCIAZIONI DI PROMOZIONE SOCIALE,LAURO,GIOVANNI,I,CO,LENNO,VIA REGINA,APS,"VIA REGINA,LENNO,CO,I",45.97538791982465,9.198598605015547
CIRCOLO ACLI LENO  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ROMANINI,ALDO,I,BS,LENO,VIA COLLEGIO,APS,"VIA COLLEGIO,LENO,BS,I",45.364903547060415,10.218392442494238
CIRCOLO ACLI LIMBIATE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GHEZZI,CARLO,I,MB,LIMBIATE,VIA GARIBALDI,APS,"VIA GARIBALDI,LIMBIATE,MB,I",45.61111607066211,9.130621340235743
CIRCOLO ACLI L. LABOR DI SOMMA LOMBARDO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MAGGI,ANGELO,I,VA,SOMMA LOMBARDO,VIA MAMELI,APS,"VIA MAMELI,SOMMA LOMBARDO,VA,I",45.68536093805447,8.710412762535727
CIRCOLO ACLI LORENZO CANTU',ASSOCIAZIONI DI PROMOZIONE SOCIALE,GATTI,VITTORIO CLAUDIO,I,MB,MONZA,CORSO MILANO,APS,"CORSO MILANO,MONZA,MB,I",45.57730646433555,9.271284495735173
CIRCOLO ACLI LOVERE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MANERA,MARCO,I,BG,LOVERE,VIA ROMA,APS,"VIA ROMA,LOVERE,BG,I",45.8175755924627,10.074006165412257
CIRCOLO ACLI LUIGI FERRARI  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,AMIDANI,DIEGO,I,BS,BRESCIA,VIA MALTA,APS,"VIA MALTA,BRESCIA,BS,I",45.51414509166972,10.207185371193322
CIRCOLO ACLI LUIGI MORELLI DI BUSTO ARSIZIO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ZAROLI,MARIO,I,VA,BUSTO ARSIZIO,VIA POZZI,APS,"VIA POZZI,BUSTO ARSIZIO,VA,I",45.626351000101465,8.839929634164989
CIRCOLO ACLI LUIGI STRADA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GIUSSANI,AMBROGIO,I,MI,BRESSO,VIA ISIMBARDI,APS,"VIA ISIMBARDI,BRESSO,MI,I",45.53766485679054,9.188967997785165
CIRCOLO ACLI LUMEZZANE VALLE  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BREGOLI,MAURILIO GIOVANNI,I,BS,LUMEZZANE,VIA S. CARLO,APS,"VIA S. CARLO,LUMEZZANE,BS,I",45.65194167200733,10.236777449524796
CIRCOLO ACLI MADONNA REGINA DI BUSTO ARSIZIO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,RIGANTI,DORIANO,I,VA,BUSTO ARSIZIO,VIA FAVANA,APS,"VIA FAVANA,BUSTO ARSIZIO,VA,I",45.60858622910879,8.824830165571539
CIRCOLO ACLI MANERBIO - APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FEROLDI,EUGENIO SERGIO,I,BS,MANERBIO,VIA SAN MARTINO,APS,"VIA SAN MARTINO,MANERBIO,BS,I",45.35667159431069,10.140141951073943
CIRCOLO ACLI MARCIGNAGO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GUASCHI,PAOLO,I,PV,MARCIGNAGO,UMBERTO I,APS,"UMBERTO I,MARCIGNAGO,PV,I",45.25442525368224,9.07787535311229
CIRCOLO ACLI MARIANO COMENSE A.S.BOCCE 48 APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,VAZZOLA,LINO,I,CO,MARIANO COMENSE,VIA DON L.STURZO,APS,"VIA DON L.STURZO,MARIANO COMENSE,CO,I",45.68578365923924,9.180900758788313
CIRCOLO ACLI MARIO RIMOLDI DI TRADATE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GUALERNI TOGNOLA,PIERANGELO,I,VA,TRADATE,VIA SOPRANZI,APS,"VIA SOPRANZI,TRADATE,VA,I",45.7155014368545,8.907008176696845
CIRCOLO ACLI MASSALENGO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MARAZZINA,KATIA FRANCESCA,I,LO,MASSALENGO,VIA PREMOLI,APS,"VIA PREMOLI,MASSALENGO,LO,I",45.26325137320824,9.491830297471726
CIRCOLO ACLI MEDIA VALLE CAMONICA  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MORANDINI,GIACOMO,I,BS,BRENO,P.ZZA ALPINI,APS,"P.ZZA ALPINI,BRENO,BS,I",45.95736987932971,10.303344554175856
CIRCOLO ACLI MEDIO CHIESE - APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FRANCESCHINI,DANIELE,I,BS,GAVARDO,VIA SANTA MARIA,APS,"VIA SANTA MARIA,GAVARDO,BS,I",45.58717534915921,10.440045845586196
CIRCOLO ACLI MEZZANA RABATTONE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CAPETTINI,PIETRO,I,PV,MEZZANA RABATTONE,VIA MARCONI,APS,"VIA MARCONI,MEZZANA RABATTONE,PV,I",45.095507210203486,9.033015124275238
CIRCOLO ACLI MEZZATE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,SABBIONI,DAVIDE,I,MI,PESCHIERA BORROMEO,VIA BUZZONI NIGRA,APS,"VIA BUZZONI NIGRA,PESCHIERA BORROMEO,MI,I",45.446748177166555,9.293830760872693
CIRCOLO ACLI MILZANO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BINETTI,GIULIO,I,BS,MILZANO,VIA C. BATTISTI,APS,"VIA C. BATTISTI,MILZANO,BS,I",45.27521523494108,10.199048010059128
CIRCOLO ACLI MONS. ANGLESE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FAZZINI,PIERANGELO,I,PV,SANNAZZARO DE' BURGONDI,CAVOUR,APS,"CAVOUR,SANNAZZARO DE' BURGONDI,PV,I",45.10219361213577,8.905886433489744
CIRCOLO ACLI MONTESIRO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MAGGIONI,GIUSEPPE,I,MB,BESANA IN BRIANZA,VIA SAN SIRO,APS,"VIA SAN SIRO,BESANA IN BRIANZA,MB,I",45.69355048984172,9.287178318665925
CIRCOLO ACLI MORBEGNO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,RONCONI,DANILO,I,SO,MORBEGNO,VIA BEATO ANDREA,APS,"VIA BEATO ANDREA,MORBEGNO,SO,I",46.13327190157319,9.572104012526813
CIRCOLO ACLI MOTELLA  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CASANOVA,GIANMARCO,I,BS,BORGO SAN GIACOMO,VIA CONTE ZOPPOLA,APS,"VIA CONTE ZOPPOLA,BORGO SAN GIACOMO,BS,I",45.341235975411664,10.009965547131154
CIRCOLO ACLI M. RIMOLDI DI CASSANO MAGNAGO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,TONIATO,MAURIZIO,I,VA,CASSANO MAGNAGO,VIA XXIV MAGGIO,APS,"VIA XXIV MAGGIO,CASSANO MAGNAGO,VA,I",45.67177061613289,8.821175189469551
CIRCOLO ACLI MULINO DI SUARDI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,DAMIANI,PIER FRANCESCO,I,PV,SUARDI,MARCONI,APS,"MARCONI,SUARDI,PV,I",45.03476797200587,8.743005560539256
CIRCOLO ACLI NAVE  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PASOTTI,GIANFRANCO,I,BS,NAVE,VIA PAOLO VI,APS,"VIA PAOLO VI,NAVE,BS,I",45.585288328065495,10.274845422899702
CIRCOLO ACLI NUCLEO ACLI ATM APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,OSTONI,MARCO AMBROGIO,I,MI,MILANO,VIA DELLA SIGNORA,APS,"VIA DELLA SIGNORA,MILANO,MI,I",45.46195439304666,9.196689557111124
CIRCOLO ACLI NUCLEO ACLI COLF APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BATTISTA,ROSETTA,I,MI,MILANO,VIA DELLA SIGNORA,APS,"VIA DELLA SIGNORA,MILANO,MI,I",45.46195439304666,9.196689557111124
CIRCOLO ACLI NUCLEO ACLI UNIVERSITA' CATTOLICA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,TAZZARI,STEFANI,I,MI,MILANO,LARGO GEMELLI,APS,"LARGO GEMELLI,MILANO,MI,I",45.463024805338975,9.176778587345497
CIRCOLO ACLI OSCAR ROMERO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MILANESI,FRANCO,I,CR,CREMONA,VIA BRESCIA,APS,"VIA BRESCIA,CREMONA,CR,I",45.1749848645064,10.043856794966317
CIRCOLO ACLI OSNAGO  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,SCANDELLI,LIVIO,I,LC,OSNAGO,VIA GORIZIA,APS,"VIA GORIZIA,OSNAGO,LC,I",45.67536836835478,9.392838024922096
CIRCOLO ACLI OSPITALETTO  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,LIBRETTI,GIORGIO,I,BS,OSPITALETTO,VIA MARTIRI DELLA LIBERTA',APS,"VIA MARTIRI DELLA LIBERTA',OSPITALETTO,BS,I",45.54760038712872,10.074187443703018
CIRCOLO ACLI PADERNO DUGNANO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,VINCENZI,MAURA,I,MI,PADERNO DUGNANO,VIA MESSICO,APS,"VIA MESSICO,PADERNO DUGNANO,MI,I",45.55435990737389,9.160424841548117
CIRCOLO ACLI PADRE GIACINTO BIANCHI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,TATOLI,GIUSEPPE,I,MN,SABBIONETA,VIA G.BIANCHI,APS,"VIA G.BIANCHI,SABBIONETA,MN,I",44.999114197863456,10.515304529774292
CIRCOLO ACLI PADRE MARIO ZANARDI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GALIMBERTI,CARLA BRUNELLA,I,CR,SONCINO,VIA IV NOVEMBRE,APS,"VIA IV NOVEMBRE,SONCINO,CR,I",45.39891359069702,9.873455151864254
CIRCOLO ACLI PADRE SILVIO PASQUALI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BARCHIELLI,MAURO,I,CR,CREMONA,VIA BUSINI,APS,"VIA BUSINI,CREMONA,CR,I",45.15498537383524,10.003767705434846
CIRCOLO ACLI PALMA PLINI  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,LEONI,PIERLUIGI,I,MN,MANTOVA,VIA SOLFERINO E SAN MARTINO,APS,"VIA SOLFERINO E SAN MARTINO,MANTOVA,MN,I",45.15905094036975,10.786205886825497
CIRCOLO A.C.L.I. PAPA GIOVANNI XXIII APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,LONGONI,DARIO,I,MI,SEGRATE,VIA CARDINAL SCHUSTER,APS,"VIA CARDINAL SCHUSTER,SEGRATE,MI,I",45.501203476040324,9.292164635235077
CIRCOLO ACLI PARABIAGO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,LUCCHINI,RENZA,I,MI,PARABIAGO,VIA SANT'AMBROGIO,APS,"VIA SANT'AMBROGIO,PARABIAGO,MI,I",45.55982328657913,8.94994936839242
CIRCOLO ACLI PAVONIANO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CHIRICHELLA,MICHELE,I,MI,MILANO,VIA GIUSTI,APS,"VIA GIUSTI,MILANO,MI,I",45.480061831273424,9.176315113677074
CIRCOLO ACLI PIER GIORGIO FRASSATI  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PERTEGHELLA,ATTILIO,I,MN,GOITO,STRADA SOLAROLO,APS,"STRADA SOLAROLO,GOITO,MN,I",45.24450869937993,10.58803203354188
CIRCOLO ACLI PIEVE DEL CAIRO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ORBELLI BIROLI,DARIO,I,PV,PIEVE DEL CAIRO,VIA PELIZZA,APS,"VIA PELIZZA,PIEVE DEL CAIRO,PV,I",45.04959985238974,8.803673637454276
CIRCOLO ACLI  PIPER APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GHIO,ATTILIO,I,MN,CERESARA,VIA SAN MARTINO GUSNAGO,APS,"VIA SAN MARTINO GUSNAGO,CERESARA,MN,I",45.2587403,10.5415102
CIRCOLO ACLI PISOGNE  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PE',FELICE,I,BS,PISOGNE,P.ZZA CORNA PELLEGRINI,APS,"P.ZZA CORNA PELLEGRINI,PISOGNE,BS,I",45.80354052158976,10.107900487253401
CIRCOLO ACLI PONTE SAN MARCO - APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,DANESI,GIACOMO,I,BS,CALCINATO,VIA DON ROVETTA,APS,"VIA DON ROVETTA,CALCINATO,BS,I",45.47494785641934,10.41159399004547
CIRCOLO ACLI PONTE ZANANO  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BRUNELLO,GALLIANO FRANCO,I,BS,SAREZZO,VIA PETRARCA,APS,"VIA PETRARCA,SAREZZO,BS,I",45.67278947145845,10.18649369295157
CIRCOLO ACLI PRATOCENTENARO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MIGLIORE,NATALE,I,MI,MILANO,VIALE SUZZANI,APS,"VIALE SUZZANI,MILANO,MI,I",45.50989340966253,9.199690972203047
CIRCOLO ACLI PRENDIAMOCI CURA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,LUMIERA,GIOVANNA,I,VA,VARESE,VIA SPERI DELLA CHIESA JEMOLI,APS,"VIA SPERI DELLA CHIESA JEMOLI,VARESE,VA,I",45.820338307112856,8.823949362478958
CIRCOLO ACLI PREVALLE  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MAROCCHI,TERESINA,I,BS,PREVALLE,VIA G.MAZZINI,APS,"VIA G.MAZZINI,PREVALLE,BS,I",45.543421985543965,10.413868258343113
CIRCOLO ACLI PRIMALUNA  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CIRESA,MARCO,I,LC,PRIMALUNA,VIA ROMA,APS,"VIA ROMA,PRIMALUNA,LC,I",45.98653328312511,9.430056391262086
CIRCOLO ACLI PUNTO FAMIGLIA ACLICOLF APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MONZANI,PAOLA,I,CO,COMO,VIA BRAMBILLA,APS,"VIA BRAMBILLA,COMO,CO,I",45.81362156438248,9.088036739406714
CIRCOLO ACLI PUNTO FAMIGLIA CIRCOSCRIZIONE 3 APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MANIGHETTI,SONIA,I,CO,COMO,VIA D.PINO,APS,"VIA D.PINO,COMO,CO,I",45.78884878397825,9.085674483350111
CIRCOLO ACLI QUINZANO  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GALENTI,MADDALENA,I,BS,QUINZANO D'OGLIO,VICOLO QUARTIERI,APS,"VICOLO QUARTIERI,QUINZANO D'OGLIO,BS,I",45.313538499322505,10.009178472687111
CIRCOLO ACLI RESURREZIONE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,SOLDANO,ANGELA,I,MI,MILANO,VIA LONGARONE,APS,"VIA LONGARONE,MILANO,MI,I",45.520045108600584,9.141420957454372
CIRCOLO ACLI  REZZATO  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,DROGO,FRANCESCA,I,BS,REZZATO,VIA IV NOVEMBRE,APS,"VIA IV NOVEMBRE,REZZATO,BS,I",45.46652365497617,10.292743118616173
CIRCOLO ACLI RIVANAZZANO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CHIODI,GIULIANO,I,PV,RIVANAZZANO TERME,PAPA GIOVANNI XXIII,APS,"PAPA GIOVANNI XXIII,RIVANAZZANO TERME,PV,I",44.9292375043268,9.016742518366547
CIRCOLO ACLI ROBBIANO DON MARIO MERONI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,VILLA,DARIO MARIO,I,MB,GIUSSANO,VIA DANTE,APS,"VIA DANTE,GIUSSANO,MB,I",45.697073091199165,9.219213359729547
CIRCOLO ACLI ROBBIO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FALZONI,CLAUDIA,I,PV,ROBBIO,MARCONI,APS,"MARCONI,ROBBIO,PV,I",45.290221698271615,8.59553091110742
CIRCOLO ACLI  RODENGO SAIANO  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ABENI,GIANLUIGI,I,BS,RODENGO SAIANO,VIA CASTELLO,APS,"VIA CASTELLO,RODENGO SAIANO,BS,I",45.5989805921373,10.104891379682943
CIRCOLO ACLI ROGNO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FILIPPI,GIACOMINA,I,BG,ROGNO,PIAZZA DRUSO,APS,"PIAZZA DRUSO,ROGNO,BG,I",45.857555285038714,10.133644617928416
CIRCOLO ACLI RONCALLO GAGGIO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,SALA,VALERIO,I,BG,PONTIDA,PIAZZA SAN CARLO,APS,"PIAZZA SAN CARLO,PONTIDA,BG,I",45.73978428480225,9.510051228440412
CIRCOLO ACLI ROVATO G. CADEI  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,LOMBARDO,LICIA,I,BS,ROVATO,VIA CASTELLO,APS,"VIA CASTELLO,ROVATO,BS,I",45.567874669374675,9.998563862925819
CIRCOLO ACLI SABBIONI  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ZELI,LUCIANO,I,MN,VIADANA,VIA GARDANI,APS,"VIA GARDANI,VIADANA,MN,I",44.9346898,10.5060809
CIRCOLO ACLI SACRO CUORE  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GADDI,ANTONIO,I,LC,MANDELLO DEL LARIO,VIA SAN GIOVANNI BOSCO,APS,"VIA SAN GIOVANNI BOSCO,MANDELLO DEL LARIO,LC,I",45.921405329747834,9.318531761963294
CIRCOLO ACLI SAILETTO  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BELLI,SERENA,I,MN,SUZZARA,VIA NAZIONALE CISA,APS,"VIA NAZIONALE CISA,SUZZARA,MN,I",44.99058958284908,10.72859172369481
CIRCOLO ACLI SALE DI GUSSAGO  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GNOCCHI,ALBERTO,I,BS,GUSSAGO,VIA GALLI,APS,"VIA GALLI,GUSSAGO,BS,I",45.580694120067804,10.152210284064896
CIRCOLO ACLI S. AMBROGIO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,ROSSI PERAGINE,VANESSA,I,MI,RODANO,VIA ROMA C/O ORATORIO LUCINO,APS,"VIA ROMA C/O ORATORIO LUCINO,RODANO,MI,I",45.47316864417341,9.357585168551422
CIRCOLO ACLI SAN AGATA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,SCHIROLI,PIERMARIO,I,CR,CASALMAGGIORE,VIA MANTEGAZZA,APS,"VIA MANTEGAZZA,CASALMAGGIORE,CR,I",45.00584056065396,10.448571743063253
CIRCOLO ACLI SAN BIAGIO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FONTANA,MARCO,I,MN,BAGNOLO SAN VITO,VIA ROSSINI,APS,"VIA ROSSINI,BAGNOLO SAN VITO,MN,I",45.097074588322855,10.851510272713885
CIRCOLO ACLI SAN COLOMBANO AL LAMBRO  CENTRO SOCIALE MUZZI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GAVINA,MAURIZIO,I,MI,SAN COLOMBANO AL LAMBRO,VIA STEFFANINI,APS,"VIA STEFFANINI,SAN COLOMBANO AL LAMBRO,MI,I",45.182730924830345,9.488616779977665
CIRCOLO ACLI SAN FILIPPO NERI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BONOMI,MAURIZIO,I,MI,MILANO,VIA GABBRO,APS,"VIA GABBRO,MILANO,MI,I",45.515168509602056,9.160463648411321
CIRCOLO ACLI SAN FRANCESCO  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MANINETTI,VITALE,I,LC,LECCO,PIAZZA CAPPUCCINI,APS,"PIAZZA CAPPUCCINI,LECCO,LC,I",45.863684157869926,9.385680613213738
CIRCOLO ACLI SAN GIULIANO  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,DENTI,ANGELA TERESA,I,MI,COLOGNO MONZESE,PIAZZA SAN MATTEO,APS,"PIAZZA SAN MATTEO,COLOGNO MONZESE,MI,I",45.52798368263876,9.29102369856614
CIRCOLO ACLI SAN LATINO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BIANCHI,SILVIA,I,CR,CASTELLEONE,VIA TERNI,APS,"VIA TERNI,CASTELLEONE,CR,I",45.26483976997826,9.75256973100738
CIRCOLO ACLI SAN LUIS APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PELIZZARO,PIERO,I,MI,MILANO,CORSO LODI,APS,"CORSO LODI,MILANO,MI,I",45.443523005655784,9.21718023009262
CIRCOLO ACLI SAN MARCO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,TAMAGNINI,EMILIO,I,MI,RHO,VIA PERFETTI,APS,"VIA PERFETTI,RHO,MI,I",45.538397892017976,9.03746873585982
CIRCOLO ACLI SAN MARTINO IN STRADA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CAVALLAZZI,GIANLUIGI,I,LO,SAN MARTINO IN STRADA,VIA CAVOUR,APS,"VIA CAVOUR,SAN MARTINO IN STRADA,LO,I",45.27157301443316,9.528850610867876
CIRCOLO ACLI SAN MATERNO DI DORNO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CUCCHI,BATTISTA MARIO,I,PV,DORNO,VIA SAN MATERNO,APS,"VIA SAN MATERNO,DORNO,PV,I",45.15022573388824,8.956780671701488
CIRCOLO ACLI SAN MATTEO DELLE CHIAVICHE  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BELLINI,SIMONETTA,I,MN,VIADANA,VIA L.CADORNA,APS,"VIA L.CADORNA,VIADANA,MN,I",45.01692519036509,10.624024160638955
CIRCOLO ACLI  S. ANNA  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MAZZOLENI,GABRIELLA,I,BS,BRESCIA,P.ZZA MAESTRI DEL LAVORO,APS,"P.ZZA MAESTRI DEL LAVORO,BRESCIA,BS,I",45.5550440414171,10.184029378368113
CIRCOLO ACLI SAN PIETRO ALL'OLMO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,VIGANO',LICIA,I,MI,CORNAREDO,PIAZZA DELLA CHIESA,APS,"PIAZZA DELLA CHIESA,CORNAREDO,MI,I",45.4870769409749,9.012489454796347
CIRCOLO ACLI SAN POLO  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BASILE,FABIO ANTONIO,I,BS,BRESCIA,VIA CIMABUE,APS,"VIA CIMABUE,BRESCIA,BS,I",45.51662055475926,10.257806199135384
CIRCOLO ACLI SANTA BARBARA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,RINALDI,ANTONIO,I,MI,SAN DONATO MILANESE,PIAZZA SANTA BARBARA,APS,"PIAZZA SANTA BARBARA,SAN DONATO MILANESE,MI,I",45.42407780224518,9.260903621080642
CIRCOLO ACLI SANTA FRANCESCA ROMANA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,RAPISARDA,ATTILIO,I,MI,MILANO,VIA CADAMOSTO,APS,"VIA CADAMOSTO,MILANO,MI,I",45.47661231333101,9.209417707020373
CIRCOLO ACLI SANTA LUCIA APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,PELLACANI,MARCO,I,MI,MILANO,VIA CAPUANA,APS,"VIA CAPUANA,MILANO,MI,I",45.517982587230776,9.140449712372881
CIRCOLO ACLI SANT'ANGELO LODIGIANO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MERLI,PAOLO,I,LO,SANT'ANGELO LODIGIANO,VIA MONSIGNOR RIZZI,APS,"VIA MONSIGNOR RIZZI,SANT'ANGELO LODIGIANO,LO,I",45.23803830227409,9.410002660809754
CIRCOLO ACLI SANT'EDOARDO DI BUSTO ARSIZIO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,POZZI,DAVIDE,I,VA,BUSTO ARSIZIO,VIA SONDRIO,APS,"VIA SONDRIO,BUSTO ARSIZIO,VA,I",45.603224240623256,8.85869559861155
CIRCOLO ACLI SANTI APOSTOLI DI BUSTO ARSIZIO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BRAMBILLA PISONI,IGNAZIO,I,VA,BUSTO ARSIZIO,PIAZZA DON PAOLO CAIROLI,APS,"PIAZZA DON PAOLO CAIROLI,BUSTO ARSIZIO,VA,I",45.61994111345733,8.861915348528113
CIRCOLO ACLI SAN VIGILIO  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MERLI,GIAMPIETRO,I,BS,CONCESIO,VIA RIZZARDI,APS,"VIA RIZZARDI,CONCESIO,BS,I",45.599744236138655,10.184111301927325
CIRCOLO ACLI SAREZZO  APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CHITTO',RENATO,I,BS,SAREZZO,VIA ZANARDELLI,APS,"VIA ZANARDELLI,SAREZZO,BS,I",45.65334186859781,10.201395834560593
CIRCOLO ACLI SEGRETERIA COMO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,EVOLVI,CARLO,I,CO,COMO,VIALE C.BTTISTI,APS,"VIALE C.BTTISTI,COMO,CO,I",45.807564714414674,9.087656228224356
CIRCOLO ACLI SEGRETERIA OLGIATE  APPIANO APS ,ASSOCIAZIONI DI PROMOZIONE SOCIALE,BERETTA,FRANCESCO,I,CO,OLGIATE COMASCO,PIAZZA UMBERTO PRIMO,APS,"PIAZZA UMBERTO PRIMO,OLGIATE COMASCO,CO,I",45.78516952644879,8.970011276498672
CIRCOLO ACLI SEGRETERIA ZONA ERBA  APS ,ASSOCIAZIONI DI PROMOZIONE SOCIALE,RONZONI,DOMENICO,I,CO,ERBA,PIAZZA SANT'EUFEMIA,APS,"PIAZZA SANT'EUFEMIA,ERBA,CO,I",45.80709545063961,9.2271175174127
CIRCOLO ACLI SEGURO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MENCAGLIA,ANNA,I,MI,SETTIMO MILANESE,PIAZZA DON MILANI,APS,"PIAZZA DON MILANI,SETTIMO MILANESE,MI,I",45.47344420134862,9.06724423278594
CIRCOLO ACLI SENAGO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CANTORO,ILENIA MONICA,I,MI,SENAGO,PIAZZA TRICOLORE,APS,"PIAZZA TRICOLORE,SENAGO,MI,I",45.57783379944871,8.817234751217654
CIRCOLO ACLI SEN. CARLO PERINI APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,RESTELLI,ENRICO,I,MI,CARPIANO,VIA SAN MARTINO,APS,"VIA SAN MARTINO,CARPIANO,MI,I",45.34081568584348,9.273352401427976
CIRCOLO ACLI SERIATE APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,DE GASPARI,ROMEOPAOLO,I,BG,SERIATE,VIA G.VENEZIAN,APS,"VIA G.VENEZIAN,SERIATE,BG,I",45.69184518337416,9.723253717093469
